keyword,intent,funnel_stage,monthly_volume,difficulty,target_region
iphone 17 review,informational,MOFU,90500,high,US
iphone 17 battery life,informational,TOFU,12100,medium,US
iphone 17 vs samsung galaxy s25,commercial,MOFU,27100,high,US
iphone 17 vs iphone 16,commercial,MOFU,14800,medium,US
best iphone for students,transactional,BOFU,6600,medium,US
is iphone 17 worth it,informational,MOFU,3600,low,US
iphone battery life test,informational,TOFU,4400,low,US
macbook air m4 review,informational,MOFU,9900,medium,US
airpods pro 3 review,informational,MOFU,5400,medium,US
how long does iphone battery last,informational,TOFU,2900,low,US
